tx_id,customer_region,destination_jurisdiction,asset,amount_usd,counterparty_type,customer_tenure_days,transaction_velocity_24h,chain_risk_score,sanctions_screen_hit,adverse_media_flag,originator_name,originator_account,originator_address,originator_id,beneficiary_name,beneficiary_account,simulated_illicit_label
TX-6822-0018,India,US,USDC,2556.18,unhosted_wallet,1202,2,42.1,False,False,True,True,False,False,False,True,False
TX-6822-0019,US,Singapore,ETH,1218.64,hosted_vasp,101,2,28.1,False,False,True,True,True,True,True,True,False
TX-6822-0020,India,High-risk corridor,ETH,1161.3,hosted_vasp,233,2,51.6,False,False,True,True,True,True,True,True,False
TX-6822-0021,Singapore,Singapore,USDC,2287.3,unhosted_wallet,1846,1,40.4,False,False,True,True,False,True,True,True,False
TX-6822-0022,US,US,BTC,347.56,hosted_vasp,899,4,9.1,False,False,True,True,True,True,True,True,False
TX-6822-0023,US,US,USDC,473.66,unhosted_wallet,1324,6,28.9,False,False,True,True,False,True,True,True,False
TX-6822-0024,US,High-risk corridor,USDC,1677.26,hosted_vasp,731,1,51.8,False,False,True,True,True,True,True,True,False
TX-6822-0025,Nigeria,Singapore,USDC,270.16,unhosted_wallet,336,5,75.5,False,True,True,True,True,True,False,True,False
TX-6822-0026,Hong Kong,EU,SOL,2766.46,hosted_vasp,1317,4,37.8,False,False,True,True,True,True,True,False,False
TX-6822-0027,US,EU,USDC,1122.62,hosted_vasp,1643,7,30.7,False,False,True,True,True,True,True,True,False
TX-6822-0028,India,US,ETH,1907.15,hosted_vasp,236,5,30.8,False,False,True,False,True,True,True,True,False
TX-6822-0029,Hong Kong,EU,USDC,954.01,unhosted_wallet,1371,2,80.6,False,True,True,True,True,True,True,True,False
TX-6822-0030,US,EU,USDC,1849.38,hosted_vasp,298,2,28.0,False,False,False,True,True,True,True,True,False
TX-6822-0031,Singapore,Singapore,BTC,1245.71,unhosted_wallet,956,6,36.8,False,False,True,True,False,True,False,True,False
TX-6822-0032,Hong Kong,US,ETH,427.92,hosted_vasp,1293,2,30.2,False,False,True,True,True,True,True,True,False
TX-6822-0033,US,Offshore,ETH,2015.74,unhosted_wallet,778,2,60.4,False,False,True,False,False,False,True,True,False
TX-6822-0034,Singapore,EU,ETH,2686.76,hosted_vasp,1837,1,23.0,False,False,True,True,True,False,True,True,False
TX-6822-0035,US,EU,USDC,1430.53,unhosted_wallet,1518,2,34.8,False,False,True,True,True,False,True,True,False
TX-6822-0036,UAE,High-risk corridor,SOL,1348.25,hosted_vasp,1508,23,84.7,False,False,True,True,True,True,True,True,False
TX-6822-0037,US,High-risk corridor,USDC,1694.75,unhosted_wallet,503,1,75.0,False,False,True,True,True,True,True,True,False
TX-6822-0038,US,Offshore,USDC,2380.9,hosted_vasp,2158,5,49.4,False,False,True,True,True,True,True,True,False
TX-6822-0039,India,Offshore,USDC,3121.48,hosted_vasp,159,16,64.0,False,False,True,False,True,True,True,True,False
TX-6822-0040,India,Offshore,USDC,2420.16,hosted_vasp,594,4,50.8,False,False,True,True,False,True,True,True,False
TX-6822-0041,Singapore,US,BTC,1523.16,hosted_vasp,899,2,49.8,False,True,True,True,False,True,True,True,False
TX-6822-0042,Singapore,Offshore,USDC,1595.2,hosted_vasp,504,27,54.1,False,False,True,True,True,True,True,True,False
TX-6822-0043,Singapore,US,USDC,8069.43,unhosted_wallet,940,0,40.6,False,False,True,True,True,False,True,True,False
TX-6822-0044,EU,US,USDC,1942.84,unhosted_wallet,94,7,38.8,False,False,True,False,False,False,True,True,False
TX-6822-0045,US,EU,BTC,580.12,hosted_vasp,351,4,41.0,False,False,True,True,True,True,True,True,False
TX-6822-0046,Singapore,Offshore,BTC,3655.2,hosted_vasp,819,2,51.7,False,False,True,True,True,True,True,True,False
TX-6822-0047,US,EU,USDC,1204.73,hosted_vasp,212,2,20.3,False,False,True,True,True,True,True,True,False
TX-6822-0048,Singapore,US,BTC,1376.38,unhosted_wallet,381,2,45.6,False,False,True,True,True,False,False,True,False
TX-6822-0049,UAE,Offshore,USDC,1301.74,hosted_vasp,1207,3,45.4,False,False,True,True,True,True,True,True,False
TX-6822-0050,EU,US,ETH,2577.4,hosted_vasp,2137,5,27.2,False,False,True,True,True,True,True,True,False
TX-6822-0051,EU,EU,ETH,2624.35,unhosted_wallet,673,4,31.2,False,False,True,True,False,True,True,True,False
TX-6822-0052,US,EU,BTC,779.56,hosted_vasp,1340,18,42.8,False,False,True,True,True,True,True,True,False
TX-6822-0053,US,High-risk corridor,SOL,1745.91,hosted_vasp,2090,4,52.0,False,False,True,True,True,True,True,True,False
TX-6822-0054,US,US,ETH,882.16,unhosted_wallet,2036,11,53.4,False,False,True,True,False,True,True,True,False
TX-6822-0055,US,High-risk corridor,BTC,1272.62,hosted_vasp,1829,2,73.9,False,True,True,True,True,True,True,True,False
TX-6822-0056,EU,Singapore,USDC,989.55,unhosted_wallet,1502,6,40.5,False,False,True,True,False,True,False,True,False
TX-6822-0057,UAE,EU,USDC,3046.6,unhosted_wallet,2131,1,62.4,False,False,True,True,False,False,True,True,False
TX-6822-0058,Singapore,US,ETH,1814.44,hosted_vasp,1904,2,12.9,False,False,True,True,True,True,True,True,False
TX-6822-0059,US,EU,USDC,796.09,hosted_vasp,412,1,15.3,False,False,True,True,True,True,True,True,False
TX-6822-0060,US,High-risk corridor,USDC,1296.83,hosted_vasp,747,1,72.7,False,False,True,True,True,True,True,True,False
TX-6822-0061,UAE,High-risk corridor,USDC,5903.17,unhosted_wallet,564,1,89.3,False,False,True,True,True,True,True,True,False
TX-6822-0062,US,US,BTC,1358.94,hosted_vasp,160,2,19.8,False,False,True,True,False,True,True,True,False
TX-6822-0063,Nigeria,High-risk corridor,BTC,1627.75,hosted_vasp,1812,2,79.5,False,False,True,True,True,True,True,True,True
TX-6822-0064,US,Singapore,ETH,5215.68,hosted_vasp,1402,21,42.1,False,False,True,True,True,False,True,True,False
TX-6822-0065,EU,Singapore,BTC,824.61,hosted_vasp,296,0,27.3,False,False,True,True,True,True,True,True,False
TX-6822-0066,India,US,USDC,5156.77,hosted_vasp,1804,5,37.8,False,False,True,True,True,True,True,True,False
TX-6822-0067,Nigeria,US,USDC,2133.87,unhosted_wallet,1931,3,61.6,False,False,True,True,False,True,True,True,False
TX-6822-0068,US,Offshore,BTC,1823.51,hosted_vasp,1076,1,39.3,False,False,True,True,True,True,True,True,False
TX-6822-0069,US,US,USDC,1082.0,hosted_vasp,1344,3,20.9,False,False,True,True,True,False,True,True,False
TX-6822-0070,US,Offshore,USDC,973.92,hosted_vasp,554,2,32.8,False,False,True,True,True,True,True,True,False
TX-6822-0071,Singapore,Singapore,SOL,1674.39,hosted_vasp,1051,2,38.0,False,False,True,True,True,True,True,True,False
TX-6822-0072,EU,Singapore,USDC,3019.84,hosted_vasp,355,2,27.0,False,False,True,True,True,True,True,True,False
TX-6822-0073,US,Singapore,USDC,2455.73,hosted_vasp,637,0,28.0,False,False,True,True,True,True,True,True,False
TX-6822-0074,EU,Singapore,BTC,2147.04,hosted_vasp,2156,14,38.9,False,False,True,True,True,True,True,True,False
TX-6822-0075,Singapore,EU,USDC,2047.6,hosted_vasp,2165,3,32.3,False,False,True,True,True,True,True,True,False
TX-6822-0076,US,High-risk corridor,USDC,3946.91,hosted_vasp,286,4,67.7,False,False,True,True,True,False,True,True,False
TX-6822-0077,Nigeria,US,BTC,2838.4,hosted_vasp,1682,2,56.1,False,False,True,True,True,True,True,True,False
TX-6822-0078,Singapore,High-risk corridor,SOL,2678.38,hosted_vasp,1623,2,56.6,False,False,True,True,True,True,True,True,False
TX-6822-0079,Singapore,Singapore,USDC,2285.6,hosted_vasp,1079,5,27.8,False,False,True,True,True,True,True,True,False
TX-6822-0080,US,Singapore,USDC,2688.86,hosted_vasp,417,0,27.0,False,False,True,True,True,True,True,True,False
TX-6822-0081,US,Singapore,BTC,1198.05,hosted_vasp,1157,6,14.6,False,False,True,True,True,True,True,True,False
TX-6822-0082,Singapore,EU,USDC,692.52,unhosted_wallet,2158,0,43.5,False,False,True,True,True,True,True,True,False
TX-6822-0083,EU,High-risk corridor,USDC,4670.22,hosted_vasp,1014,4,58.1,False,False,True,True,True,True,True,True,True
TX-6822-0084,US,US,BTC,1465.79,hosted_vasp,407,1,38.4,False,False,True,True,True,False,True,True,False
TX-6822-0085,US,US,USDC,1509.1,hosted_vasp,1361,15,45.0,False,False,True,True,True,True,True,True,False
TX-6822-0086,Singapore,EU,ETH,1110.86,unhosted_wallet,861,2,47.9,False,False,True,True,True,True,True,True,False
TX-6822-0087,US,Singapore,ETH,2496.51,unhosted_wallet,1065,3,43.5,False,True,True,True,True,False,True,True,True
TX-6822-0088,Singapore,EU,BTC,2016.52,hosted_vasp,814,4,28.1,False,False,True,True,True,True,True,True,False
TX-6822-0089,India,Singapore,BTC,2677.93,hosted_vasp,1214,0,32.1,False,False,True,True,True,False,True,True,False
TX-6822-0090,EU,EU,ETH,2016.79,unhosted_wallet,1988,2,55.5,False,False,True,True,False,True,True,True,False
TX-6822-0091,Nigeria,Singapore,ETH,397.03,hosted_vasp,1228,5,64.9,False,True,True,True,True,True,True,True,False
TX-6822-0092,US,Singapore,BTC,1206.23,hosted_vasp,1324,2,30.8,False,False,True,True,True,True,True,True,False
TX-6822-0093,Singapore,Singapore,USDC,218.5,hosted_vasp,80,4,30.4,False,False,True,True,True,True,True,True,False
TX-6822-0094,Hong Kong,Singapore,BTC,2575.77,hosted_vasp,1170,4,37.3,False,False,True,True,False,True,True,True,False
TX-6822-0095,Nigeria,EU,BTC,503.98,hosted_vasp,668,17,62.3,False,False,True,True,True,True,True,True,False
TX-6822-0096,Nigeria,Offshore,ETH,1827.5,hosted_vasp,2059,4,71.4,False,False,True,True,True,False,True,True,False
TX-6822-0097,US,Singapore,ETH,2203.67,unhosted_wallet,1048,4,44.1,False,False,True,True,True,False,True,True,False
TX-6822-0098,Hong Kong,Singapore,USDC,1151.41,hosted_vasp,125,23,58.4,False,False,True,True,False,False,True,True,False
TX-6822-0099,Nigeria,US,USDC,270.59,hosted_vasp,1829,2,44.4,False,False,True,True,True,True,True,True,False
TX-6822-0100,US,High-risk corridor,USDC,2733.4,hosted_vasp,1963,6,46.2,False,False,True,True,True,True,True,True,False
TX-6822-0101,UAE,EU,ETH,2287.63,hosted_vasp,2081,15,49.7,False,False,True,True,True,True,True,True,False
TX-6822-0102,EU,US,BTC,228.37,hosted_vasp,1460,2,31.0,False,False,True,True,True,True,True,True,False
TX-6822-0103,EU,Offshore,USDC,2815.47,unhosted_wallet,366,4,49.8,False,False,True,True,True,True,True,True,False
TX-6822-0104,Nigeria,EU,USDC,938.77,unhosted_wallet,1015,26,74.2,False,False,True,True,True,True,True,True,False
TX-6822-0105,US,US,USDC,1633.79,hosted_vasp,1114,3,31.1,False,False,True,True,True,True,True,True,False
TX-6822-0106,Singapore,Offshore,USDC,1578.46,unhosted_wallet,922,2,61.4,False,False,True,True,True,True,True,True,False
TX-6822-0107,Singapore,US,BTC,3429.93,unhosted_wallet,418,19,86.2,False,True,True,True,True,True,True,True,True
TX-6822-0108,US,EU,USDC,1898.57,hosted_vasp,936,1,45.2,False,False,True,True,True,True,True,True,False
TX-6822-0109,Singapore,Singapore,USDC,916.59,unhosted_wallet,397,3,65.2,False,True,True,True,True,False,True,True,False
TX-6822-0110,Hong Kong,US,USDC,2125.89,unhosted_wallet,699,3,43.1,False,False,True,True,False,False,False,True,False
TX-6822-0111,US,US,USDC,2529.86,hosted_vasp,474,4,11.4,False,False,True,True,True,True,True,True,False
TX-6822-0112,EU,Singapore,BTC,1143.84,hosted_vasp,1521,3,34.9,False,False,True,True,True,True,True,True,False
TX-6822-0113,Singapore,US,USDC,2262.74,hosted_vasp,362,1,35.9,False,False,True,True,True,True,True,True,False
TX-6822-0114,Singapore,EU,USDC,1548.73,hosted_vasp,2000,0,17.6,False,False,True,True,True,True,True,True,False
TX-6822-0115,US,Singapore,USDC,1412.05,hosted_vasp,998,5,17.5,False,False,True,True,True,True,True,True,False
TX-6822-0116,India,Offshore,USDC,4806.29,hosted_vasp,639,4,51.9,False,False,True,True,True,True,True,True,False
TX-6822-0117,India,Offshore,BTC,11671.56,hosted_vasp,1289,3,67.3,False,False,True,True,True,True,True,True,True
TX-6822-0118,UAE,Offshore,SOL,2928.19,unhosted_wallet,393,6,64.4,False,False,True,True,True,True,True,True,False
TX-6822-0119,Hong Kong,High-risk corridor,BTC,1653.09,hosted_vasp,329,2,59.8,False,False,True,True,True,False,True,True,False
TX-6822-0120,US,Offshore,USDC,1817.13,hosted_vasp,111,3,31.7,False,False,True,True,True,True,True,True,False
TX-6822-0121,EU,US,USDC,2362.98,hosted_vasp,1283,5,31.6,False,False,True,True,True,True,True,True,False
TX-6822-0122,India,EU,BTC,2358.37,hosted_vasp,1013,2,44.6,False,False,True,True,True,True,True,True,False
TX-6822-0123,US,US,USDC,951.83,hosted_vasp,1980,1,30.0,False,False,False,True,True,True,True,True,False
TX-6822-0124,Singapore,Offshore,BTC,970.08,hosted_vasp,1159,0,44.7,False,False,True,True,True,False,True,True,False
TX-6822-0125,Singapore,Offshore,SOL,3755.14,unhosted_wallet,1485,4,62.1,False,False,True,True,True,True,True,True,False
TX-6822-0126,Hong Kong,US,BTC,2413.54,hosted_vasp,405,2,13.8,False,False,True,True,True,True,True,True,False
TX-6822-0127,Singapore,US,BTC,2462.03,hosted_vasp,208,0,25.0,False,False,True,True,True,True,True,True,False
TX-6822-0128,US,Singapore,USDC,3429.74,hosted_vasp,941,3,20.4,False,False,True,True,True,False,True,True,False
TX-6822-0129,Nigeria,High-risk corridor,USDC,691.58,hosted_vasp,521,12,99.0,False,False,True,True,True,True,True,True,False
TX-6822-0130,US,Singapore,USDC,6672.83,hosted_vasp,977,2,53.5,False,True,True,True,True,True,True,True,False
TX-6822-0131,EU,EU,SOL,5313.75,hosted_vasp,1407,3,33.5,False,False,True,True,True,False,True,True,False
TX-6822-0132,Nigeria,High-risk corridor,USDC,399.61,hosted_vasp,385,8,92.1,False,False,True,True,True,False,True,True,False
TX-6822-0133,Nigeria,EU,BTC,1709.83,unhosted_wallet,1237,3,64.1,False,False,True,True,True,True,True,False,False
TX-6822-0134,UAE,Singapore,USDC,304.39,unhosted_wallet,1302,5,49.8,False,False,True,True,True,True,True,True,False
TX-6822-0135,Singapore,Singapore,BTC,1538.11,hosted_vasp,30,2,27.2,False,False,True,True,True,True,True,True,False
TX-6822-0136,US,Offshore,USDC,1651.85,hosted_vasp,627,2,45.1,False,False,True,True,True,True,True,True,False
TX-6822-0137,US,Offshore,USDC,1177.69,hosted_vasp,2098,4,34.1,False,False,True,True,False,True,True,True,False
TX-6822-0138,Nigeria,Singapore,USDC,2856.13,hosted_vasp,1238,0,26.1,False,False,True,True,True,True,True,True,False
TX-6822-0139,US,Offshore,USDC,874.57,hosted_vasp,218,2,43.0,False,False,True,True,True,True,True,True,False
TX-6822-0140,Nigeria,EU,USDC,2132.35,hosted_vasp,48,0,44.5,False,False,True,True,True,True,True,True,False
TX-6822-0141,Singapore,Offshore,BTC,928.12,hosted_vasp,1966,2,46.2,False,False,True,True,True,True,True,False,False
TX-6822-0142,Singapore,US,USDC,1953.04,hosted_vasp,1281,2,40.0,False,False,True,True,True,True,True,True,False
TX-6822-0143,US,High-risk corridor,USDC,3199.03,unhosted_wallet,1465,31,88.5,False,False,True,True,True,True,True,True,False
TX-6822-0144,Nigeria,Offshore,ETH,537.9,hosted_vasp,246,3,69.0,False,False,True,True,False,True,True,True,False
TX-6822-0145,EU,US,USDC,735.47,unhosted_wallet,621,1,49.8,False,False,True,True,True,False,True,True,False
TX-6822-0146,Hong Kong,EU,USDC,2532.43,unhosted_wallet,911,3,42.6,False,False,True,True,True,False,True,True,False
TX-6822-0147,Nigeria,Singapore,USDC,1144.59,hosted_vasp,1775,4,32.4,False,False,True,True,True,True,True,True,False
TX-6822-0148,Singapore,EU,USDC,695.14,unhosted_wallet,31,1,46.3,False,False,True,True,True,True,True,True,False
TX-6822-0149,Nigeria,US,USDC,2898.51,hosted_vasp,321,2,22.7,False,False,True,True,True,True,True,True,False
TX-6822-0150,Nigeria,Singapore,USDC,475.16,unhosted_wallet,1437,4,58.3,False,False,True,True,True,False,True,True,False
TX-6822-0151,US,EU,USDC,687.17,hosted_vasp,972,3,13.4,False,False,True,True,True,True,True,True,False
TX-6822-0152,Singapore,EU,USDC,663.07,hosted_vasp,2087,2,22.6,False,False,True,True,True,True,True,True,False
TX-6822-0153,Singapore,Offshore,ETH,1623.39,hosted_vasp,183,4,45.1,False,False,True,True,False,True,True,False,False
TX-6822-0154,US,EU,ETH,2484.35,hosted_vasp,367,5,27.0,False,False,True,True,True,True,True,True,False
TX-6822-0155,Singapore,EU,USDC,1925.85,hosted_vasp,1616,1,29.3,False,False,True,True,True,True,True,True,False
TX-6822-0156,US,Singapore,ETH,2683.79,hosted_vasp,1736,2,46.1,False,True,True,True,True,True,True,True,False
TX-6822-0157,UAE,High-risk corridor,USDC,2309.43,hosted_vasp,2051,4,73.3,False,False,True,True,True,True,True,True,False
TX-6822-0158,US,Singapore,USDC,1410.09,hosted_vasp,279,1,31.2,False,False,True,True,True,True,True,True,False
TX-6822-0159,Nigeria,EU,USDC,1233.63,hosted_vasp,1,3,43.0,False,False,True,True,True,False,True,True,False
TX-6822-0160,US,Offshore,BTC,283.88,hosted_vasp,1364,20,50.0,False,False,True,True,True,False,True,True,False
TX-6822-0161,EU,Singapore,USDC,867.15,hosted_vasp,96,27,46.2,False,False,True,True,True,True,True,True,False
TX-6822-0162,EU,High-risk corridor,BTC,2578.98,hosted_vasp,999,5,51.2,False,False,True,True,True,True,True,True,False
TX-6822-0163,Singapore,Singapore,BTC,1595.36,unhosted_wallet,483,3,37.5,False,False,True,True,True,False,True,True,False
TX-6822-0164,Singapore,US,USDC,455.69,unhosted_wallet,2033,4,44.7,False,False,True,True,True,True,True,True,False
TX-6822-0165,India,High-risk corridor,BTC,2415.45,hosted_vasp,713,3,66.1,False,False,True,True,True,False,True,True,False
TX-6822-0166,India,Singapore,USDC,1096.4,hosted_vasp,1537,13,49.0,False,False,True,True,True,True,True,True,False
TX-6822-0167,EU,US,USDC,2809.48,hosted_vasp,2172,4,23.5,False,False,True,True,True,True,True,True,False
TX-6822-0168,US,EU,BTC,2079.41,hosted_vasp,586,2,26.2,False,False,True,True,True,True,True,True,False
TX-6822-0169,US,Singapore,USDC,1145.75,unhosted_wallet,447,1,42.3,False,False,True,True,True,True,False,True,False
TX-6822-0170,EU,Offshore,BTC,1740.43,unhosted_wallet,1389,4,56.8,False,False,True,True,True,False,True,True,False
TX-6822-0171,Hong Kong,High-risk corridor,SOL,907.96,unhosted_wallet,509,1,74.7,False,False,True,True,True,True,False,True,False
TX-6822-0172,EU,US,USDC,505.52,hosted_vasp,2184,3,17.6,False,False,True,True,True,True,True,True,False
TX-6822-0173,EU,EU,USDC,4853.86,hosted_vasp,99,4,38.6,False,False,True,True,True,True,True,True,False
TX-6822-0174,EU,High-risk corridor,USDC,1772.65,unhosted_wallet,1887,2,70.9,False,False,True,True,True,True,True,True,False
TX-6822-0175,India,High-risk corridor,USDC,1224.27,hosted_vasp,1740,2,51.7,False,False,True,True,True,True,True,True,False
TX-6822-0176,US,Offshore,USDC,275.63,hosted_vasp,1475,1,59.9,False,True,True,True,True,True,True,True,False
TX-6822-0177,EU,US,BTC,469.75,unhosted_wallet,2179,2,39.4,False,False,True,True,True,True,True,True,False
TX-6822-0178,US,Singapore,ETH,354.57,unhosted_wallet,2114,0,53.7,False,False,True,True,True,True,True,True,False
TX-6822-0179,EU,EU,BTC,4538.32,hosted_vasp,918,1,34.2,False,False,True,True,True,True,True,True,False
TX-6822-0180,India,Singapore,USDC,509.86,hosted_vasp,1651,2,39.0,False,False,True,True,True,True,True,True,False
TX-6822-0181,Singapore,High-risk corridor,USDC,1101.71,hosted_vasp,2184,2,58.4,False,False,True,True,True,True,True,True,False
TX-6822-0182,US,EU,BTC,1167.71,hosted_vasp,2152,3,21.8,False,False,True,True,False,True,True,True,False
TX-6822-0183,EU,EU,USDC,2065.28,hosted_vasp,785,2,25.9,False,False,True,True,True,True,True,True,False
TX-6822-0184,US,High-risk corridor,USDC,516.82,hosted_vasp,339,4,50.8,False,False,True,True,True,True,True,True,False
TX-6822-0185,Singapore,US,USDC,2265.92,hosted_vasp,839,1,42.6,False,True,True,True,True,True,True,True,True
TX-6822-0186,Hong Kong,Singapore,USDC,1011.2,unhosted_wallet,99,4,51.1,False,False,True,True,True,True,True,True,False
TX-6822-0187,Singapore,Offshore,USDC,1413.89,hosted_vasp,886,3,40.3,False,False,True,False,False,True,True,True,False
TX-6822-0188,Singapore,Singapore,USDC,88.36,hosted_vasp,1131,4,21.2,False,False,True,True,True,True,True,True,False
TX-6822-0189,UAE,High-risk corridor,ETH,1502.89,unhosted_wallet,219,6,79.8,False,False,True,True,False,True,True,True,False
TX-6822-0190,EU,Singapore,USDC,1174.21,unhosted_wallet,880,2,40.6,False,False,True,True,True,True,True,True,False
TX-6822-0191,India,EU,BTC,276.93,hosted_vasp,1202,4,40.7,False,False,True,True,True,True,True,True,False
TX-6822-0192,UAE,EU,USDC,1935.0,hosted_vasp,1469,2,31.9,False,False,True,True,True,True,True,True,False
TX-6822-0193,Singapore,Offshore,USDC,838.74,unhosted_wallet,1524,2,66.5,False,False,True,True,True,True,True,True,False
TX-6822-0194,US,Singapore,BTC,3047.27,unhosted_wallet,713,3,36.7,False,False,True,True,True,True,True,True,False
TX-6822-0195,EU,Singapore,USDC,1684.68,unhosted_wallet,1912,0,41.7,False,False,True,True,True,True,True,True,False
TX-6822-0196,EU,Offshore,USDC,1962.85,hosted_vasp,527,5,32.4,False,False,True,True,True,True,True,True,False
TX-6822-0197,Singapore,Singapore,USDC,692.04,unhosted_wallet,775,5,57.7,False,False,True,True,True,True,True,True,False
TX-6822-0198,US,Offshore,BTC,1415.56,hosted_vasp,1134,1,33.5,False,False,True,True,True,True,True,True,False
TX-6822-0199,US,Singapore,USDC,2571.65,hosted_vasp,1333,4,17.4,False,False,True,True,True,True,True,True,False
TX-6822-0200,Nigeria,US,USDC,978.71,hosted_vasp,914,23,59.8,False,False,True,True,True,True,True,False,False
TX-6822-0201,Nigeria,EU,ETH,957.79,hosted_vasp,963,17,52.3,False,False,True,True,True,True,True,True,False
TX-6822-0202,Nigeria,High-risk corridor,USDC,1515.33,hosted_vasp,143,4,73.3,False,False,True,True,True,True,True,True,False
TX-6822-0203,EU,US,USDC,765.38,hosted_vasp,1650,16,40.2,False,False,True,True,True,True,True,True,False
TX-6822-0204,EU,Singapore,USDC,878.08,hosted_vasp,2090,4,25.3,False,False,True,True,True,True,True,True,False
TX-6822-0205,US,US,BTC,210.28,unhosted_wallet,326,2,35.9,False,False,True,True,False,False,True,True,False
TX-6822-0206,Singapore,EU,ETH,1890.42,unhosted_wallet,1475,4,43.0,False,False,True,True,True,True,True,True,False
TX-6822-0207,Singapore,EU,BTC,2264.56,hosted_vasp,802,3,20.0,False,False,True,True,True,True,True,True,False
TX-6822-0208,India,EU,USDC,1479.85,hosted_vasp,1073,26,48.8,False,False,True,True,True,False,True,True,False
TX-6822-0209,US,Singapore,SOL,3577.13,hosted_vasp,1985,1,39.4,False,False,True,True,False,True,True,True,False
TX-6822-0210,US,EU,USDC,1943.04,hosted_vasp,1616,3,35.9,False,False,True,True,True,True,True,False,False
TX-6822-0211,UAE,Offshore,BTC,1548.37,unhosted_wallet,1529,3,64.4,False,False,True,False,True,True,True,True,False
TX-6822-0212,EU,US,USDC,1194.13,hosted_vasp,1870,1,25.7,False,False,False,True,True,True,True,True,False
TX-6822-0213,US,Singapore,USDC,343.54,unhosted_wallet,516,4,37.0,False,False,True,True,False,True,True,True,False
TX-6822-0214,US,Offshore,USDC,2893.71,hosted_vasp,1647,4,38.0,False,False,True,True,True,True,True,True,False
TX-6822-0215,US,Singapore,BTC,221.59,unhosted_wallet,1525,21,81.1,False,True,True,True,True,True,True,True,False
TX-6822-0216,US,EU,USDC,2249.34,hosted_vasp,1240,6,17.2,False,False,True,True,True,True,True,True,False
TX-6822-0217,EU,Singapore,ETH,378.09,hosted_vasp,216,1,36.7,False,False,True,True,True,True,True,True,False
TX-6822-0218,US,High-risk corridor,USDC,237.0,hosted_vasp,1760,15,67.5,False,False,True,True,True,True,True,True,False
TX-6822-0219,UAE,Offshore,BTC,839.73,hosted_vasp,46,9,54.9,False,False,False,True,True,False,True,True,True
TX-6822-0220,EU,US,ETH,2427.21,unhosted_wallet,1517,1,42.1,False,False,True,True,False,True,True,True,False
TX-6822-0221,UAE,High-risk corridor,BTC,3496.84,hosted_vasp,261,16,99.0,False,True,True,True,False,True,True,True,False
TX-6822-0222,UAE,Singapore,ETH,175.25,hosted_vasp,2168,6,28.0,False,False,True,True,True,True,True,True,False
TX-6822-0223,EU,Singapore,ETH,235.85,hosted_vasp,28,15,39.7,False,False,True,True,True,True,True,True,False
TX-6822-0224,UAE,Offshore,USDC,1408.25,hosted_vasp,540,2,46.7,False,False,True,True,True,True,True,False,False
TX-6822-0225,EU,EU,BTC,348.34,unhosted_wallet,367,5,43.4,False,False,True,True,True,True,True,True,False
TX-6822-0226,US,EU,ETH,1923.94,hosted_vasp,872,1,44.0,False,True,True,True,True,True,True,True,False
TX-6822-0227,India,Singapore,ETH,1619.73,hosted_vasp,1182,19,40.6,False,False,True,True,True,True,True,True,False
